"Zeitstempel","Gruppenbezeichnung","Wie viel berufliche Erfahrung in der Softwareentwicklung haben Sie?","Waren Sie bereits in einem agilen Softwareentwicklungsprozess beteiligt? (z.B. als Teil eines Scrum-Teams, als Stakeholder, ...)","Ich habe mich bereits vor dem Kurs mit Nachhaltigkeit in der Softwareentwicklung  beschäftigt (zb. bezüglich dem Entwicklungsprozess oder den Auswirkungen von Softwaresystemen)","Ich habe mich bereits vor dem Kurs mit Nachhaltigkeit in anderen Bereichen beschäftigt (zb. nachhaltige Lebensweisen, Ernährung, Tourismus, Verkehr, ...)","Die Einteilung von Nachhaltigkeit in 5 Dimensionen ist nachvollziehbar.","Die Aspekte zur ökologischen Nachhaltigkeitsdimension sind leicht verständlich.","Die Aspekte zur wirtschaftlichen Nachhaltigkeitsdimension sind leicht verständlich.","Die Aspekte zur sozialen Nachhaltigkeitsdimension sind leicht verständlich.","Die Aspekte zur individuellen Nachhaltigkeitsdimension sind leicht verständlich.","Die Aspekte zur technischen Nachhaltigkeitsdimension sind leicht verständlich.","Es ist uns leicht gefallen, Auswirkungen des Softwaresystems in der ökologischen Nachhaltigkeitsdimension zu identifizieren.","Es ist uns leicht gefallen, Auswirkungen des Softwaresystems in der wirtschaftlichen Nachhaltigkeitsdimension zu identifizieren.","Es ist uns leicht gefallen, Auswirkungen des Softwaresystems in der sozialen Nachhaltigkeitsdimension zu identifizieren.","Es ist uns leicht gefallen, Auswirkungen des Softwaresystems in der individuellen Nachhaltigkeitsdimension zu identifizieren.","Es ist uns leicht gefallen, Auswirkungen des Softwaresystems in der technischen Nachhaltigkeitsdimension zu identifizieren.","Wir haben mehr potentielle Auswirkungen des Softwaresystems in den verschiedenen Nachhaltigkeitsdimensionen identifiziert als ich erwartet hatte.","Über potentielle Nachhaltigkeitsaspekte des Softwaresystems in der Gruppe zu diskutieren hat geholfen die Produktvision des Systems besser zu verstehen.","Potentielle Auswirkungen auf die Nachhaltigkeit eines Softwaresystems sollten bereits möglichst früh in der Softwareentwicklung berücksichtigt werden.","Nachhaltigkeitsaspekte zu Softwaresystemen zu diskutieren entspricht meinen Erwartungen an ein Wirtschaftsinformatikstudium.","Hier ist noch Platz für Anmerkungen, Anregungen, etc."
"2023/11/11 10:56:09 PM OEZ","Team 5","Keine","Nein","2","4","5","4","5","5","5","5","3","4","4","3","3","5","4","5","4","Ich finde es gut, dass das Thema Nachhlatigkeit im Rahmen der Entwicklung einer Software behandelt wird. Nur die Theorie ohne eine praktische Anwendung stärkt nicht das Nachhaltigkeits-Bewusstsein."
"2023/11/13 9:29:11 AM OEZ","Gruppe 5","Keine","Nein","4","5","4","4","4","4","3","4","4","3","4","3","3","4","4","5","4",""
"2023/11/15 12:19:31 AM OEZ","Team 4","1 bis 3 Jahre","Ja","2","4","5","4","5","5","4","5","3","4","5","3","4","5","4","5","3",""
"2023/11/15 2:02:14 AM OEZ","Gruppe 4","Keine","Nein","2","2","4","3","3","3","4","2","3","4","5","3","4","4","3","5","4",""
"2023/11/15 7:06:55 PM OEZ","Team 1","Keine","Nein","3","4","5","5","4","4","4","4","4","4","4","4","4","5","4","5","5",""
"2023/11/15 7:38:40 PM OEZ","Team1","Keine","Nein","2","5","3","4","4","4","4","4","4","4","4","4","4","5","4","4","5",""
"2023/11/15 8:01:18 PM OEZ","Team 4","weniger als 1 Jahr","Ja","3","4","4","4","4","5","4","4","3","4","5","3","4","3","3","4","4",""
"2023/11/15 9:36:25 PM OEZ","Gruppe3","1 bis 3 Jahre","Nein","5","4","5","4","4","5","4","5","3","3","4","4","4","4","4","4","5",""
"2023/11/15 10:02:59 PM OEZ","Team3","Keine","Nein","2","3","4","4","3","4","3","4","4","3","4","3","4","3","4","5","4","-"
"2023/11/15 10:20:27 PM OEZ","03","Keine","Nein","3","4","4","4","4","4","4","4","4","4","3","3","4","4","4","4","4",""
"2023/11/15 10:55:05 PM OEZ","Team 5","Keine","Nein","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3",""
"2023/11/16 9:22:24 AM OEZ","Team 1","Keine","Ja","1","4","4","5","4","4","4","4","4","4","4","4","4","5","4","5","5",""
"2023/11/17 12:42:38 PM OEZ","Gruppe 2","1 bis 3 Jahre","Nein","1","5","5","4","5","3","4","4","4","4","4","4","4","5","5","5","3",""
"2023/11/17 1:12:52 PM OEZ","Team 2","Keine","Nein","2","3","5","4","4","4","3","3","4","4","4","4","4","5","5","4","5",""
"2023/11/18 11:38:30 PM OEZ","Team 2","weniger als 1 Jahr","Ja","3","4","5","5","5","5","5","5","4","4","4","4","4","4","4","4","4",""
